Año,Elección,Cargo,Partido,O,N,E,S,% padrón O,% padrón N,% padrón E,% padrón S,% votos emitidos O,% votos emitidos N,% votos emitidos E,% votos emitidos S,Cantidad de votos,Votos emitidos válidos,% sobre votos emitidos válidos,% padrón TOTAL,,,,
2021,Generales,Diputados N,FRENTE AMPLIO PROGRESISTA (SOC),1413,1250,1106,736,"6,72%","6,69%","7,05%","6,61%","9,77%","9,95%","10,65%","10,18%",4505,44644,"10,09%","6,81%",,,,
2021,Generales,Diputados N,OTROS,1317,1298,1135,771,"6,26%","6,95%","7,23%","6,92%","9,10%","10,33%","10,93%","10,67%",4521,44644,"10,13%","6,84%",,,,
2021,Generales,Diputados N,BLANCOS,348,344,307,190,"1,66%","1,84%","1,96%","1,71%","2,40%","2,74%","2,96%","2,63%",1189,44644,"2,66%","1,80%",,,,
2021,Generales,Diputados N,ANULADOS,363,362,290,188,"1,73%","1,94%","1,85%","1,69%","2,51%","2,88%","2,79%","2,60%",1203,44644,"2,69%","1,82%",,,,
2021,Generales,Senadores N,PJ (K),3099,2832,2721,1757,"14,74%","15,16%","17,34%","15,77%","21,41%","22,54%","25,85%","23,85%",10409,44930,"23,17%","15,74%",,,,
2021,Generales,Senadores N,UNIDOS,7704,6249,4728,3532,"36,64%","33,45%","30,14%","31,70%","53,22%","49,75%","44,91%","47,95%",22213,44930,"49,44%","33,58%",,,,
2021,Generales,Senadores N,IZQUIERDA,275,277,280,170,"1,31%","1,48%","1,78%","1,53%","1,90%","2,21%","2,66%","2,31%",1002,44930,"2,23%","1,51%",,,,
2021,Generales,Senadores N,FRENTE AMPLIO PROGRESISTA (SOC),1443,1273,1116,770,"6,86%","6,81%","7,11%","6,91%","9,97%","10,13%","10,60%","10,45%",4602,44930,"10,24%","6,96%","67,93%",,,
2021,Generales,Senadores N,OTROS,1278,1267,1102,763,"6,08%","6,78%","7,02%","6,85%","8,83%","10,09%","10,47%","10,36%",4410,44930,"9,82%","6,67%",,,,
2021,Generales,Senadores N,BLANCOS,308,307,285,177,"1,46%","1,64%","1,82%","1,59%","2,13%","2,44%","2,71%","2,40%",1077,44930,"2,40%","1,63%",,,,
2021,Generales,Senadores N,ANULADOS,368,357,295,197,"1,75%","1,91%","1,88%","1,77%","2,54%","2,84%","2,80%","2,67%",1217,44930,"2,71%","1,84%",,,,
2021,Generales,Concejales,UNIDOS,7984,6653,5300,3733,"37,97%","35,61%","33,78%","33,51%","55,68%","53,44%","51,01%","51,28%",23670,44458,"53,24%","36,11%",,,,
2021,Generales,Concejales,CIUDAD FUTURA,2309,2082,1904,1357,"10,98%","11,14%","12,14%","12,18%","16,10%","16,72%","18,33%","18,64%",7652,44458,"17,21%","11,67%",,,,
2021,Generales,Concejales,PJ (K),1837,1771,1665,1105,"8,74%","9,48%","10,61%","9,92%","12,81%","14,23%","16,03%","15,18%",6378,44458,"14,35%","9,73%","67,83%",,,
2021,Generales,Concejales,PRO,858,690,543,408,"4,08%","3,69%","3,46%","3,66%","5,98%","5,54%","5,23%","5,61%",2499,44458,"5,62%","3,81%",,,,
2021,Generales,Concejales,GEN,747,618,471,361,"3,55%","3,31%","3,00%","3,24%","5,21%","4,96%","4,53%","4,96%",2197,44458,"4,94%","3,35%",,,,
2021,Generales,Concejales,BLANCOS,193,201,142,101,"0,92%","1,08%","0,91%","0,91%","1,35%","1,61%","1,37%","1,39%",637,44458,"1,43%","0,97%",,,,
2021,Generales,Concejales,ANULADOS,412,434,365,214,"1,96%","2,32%","2,33%","1,92%","2,87%","3,49%","3,51%","2,94%",1425,44458,"3,21%","2,17%",,,,
2023,Primarias,Intendente,CIUDAD FUTURA,1244,1114,1182,814,"5,75%","5,89%","7,43%","7,28%","9,30%","9,71%","12,29%","11,40%",4354,41613,"10,46%","6,43%",,,,
2023,Primarias,Intendente,PJ (K),889,709,682,488,"4,11%","3,75%","4,28%","4,37%","6,64%","6,18%","7,09%","6,83%",2768,41613,"6,65%","4,09%",,,,
2023,Primarias,Intendente,UNIDOS,10688,9121,7353,5281,"49,41%","48,22%","46,20%","47,25%","79,87%","79,53%","76,43%","73,93%",32443,41613,"77,96%","47,89%","61,42%",,,
2023,Primarias,Intendente,BLANCOS,274,240,205,274,"1,27%","1,27%","1,29%","2,45%","2,05%","2,09%","2,13%","3,84%",993,41613,"2,39%","1,47%",,,,
2023,Primarias,Intendente,ANULADOS,286,284,199,286,"1,32%","1,50%","1,25%","2,56%","2,14%","2,48%","2,07%","4,00%",1055,41613,"2,54%","1,56%",,,,
2023,Primarias,Concejales,LLA,1058,934,789,506,"4,89%","4,94%","4,96%","4,53%","8,04%","8,10%","8,16%","7,59%",3287,41019,"8,01%","4,85%",,,,
2023,Primarias,Concejales,CIUDAD FUTURA,1115,1132,1107,738,"5,15%","5,98%","6,95%","6,60%","8,48%","9,82%","11,45%","11,07%",4092,41019,"9,98%","6,04%",,,,
2023,Primarias,Concejales,OTROS,548,243,252,167,"2,53%","1,28%","1,58%","1,49%","4,17%","2,11%","2,61%","2,50%",1210,41019,"2,95%","1,79%",,,,
2023,Primarias,Concejales,PJ (K),1778,1677,1609,990,"8,22%","8,87%","10,11%","8,86%","13,52%","14,55%","16,64%","14,84%",6054,41019,"14,76%","8,94%","60,55%",,,
2023,Primarias,Concejales,UNIDOS,7399,6365,5022,3608,"34,21%","33,65%","31,55%","32,28%","56,24%","55,22%","51,94%","54,10%",22394,41019,"54,59%","33,05%",,,,
2023,Primarias,Concejales,IZQUIERDA,266,302,212,147,"1,23%","1,60%","1,33%","1,32%","2,02%","2,62%","2,19%","2,20%",927,41019,"2,26%","1,37%",,,,
2023,Primarias,Concejales,BLANCOS,573,497,413,308,"2,65%","2,63%","2,59%","2,76%","4,36%","4,31%","4,27%","4,62%",1791,41019,"4,37%","2,64%",,,,
2023,Primarias,Concejales,ANULADOS,418,377,264,205,"1,93%","1,99%","1,66%","1,83%","3,18%","3,27%","2,73%","3,07%",1264,41019,"3,08%","1,87%",,,,
2023,Primarias,Gobernador,LLA,275,233,232,150,"1,27%","1,23%","1,46%","1,34%","2,08%","2,04%","2,40%","2,18%",890,41158,"2,16%","1,31%",,,,
2023,Primarias,Gobernador,PJ (K),1373,1228,1168,787,"6,35%","6,49%","7,34%","7,04%","10,41%","10,77%","12,07%","11,43%",4556,41158,"11,07%","6,72%",,,,
2023,Primarias,Gobernador,OTROS,289,252,210,136,"1,34%","1,33%","1,32%","1,22%","2,19%","2,21%","2,17%","1,98%",887,41158,"2,16%","1,31%","60,75%",,,
2023,Primarias,Gobernador,IZQUIERDA,223,154,152,126,"1,03%","0,81%","0,95%","1,13%","1,69%","1,35%","1,57%","1,83%",655,41158,"1,59%","0,97%",,,,
2023,Primarias,Gobernador,UNIDOS,10014,8590,7070,5109,"46,30%","45,41%","44,42%","45,71%","75,90%","75,30%","73,08%","74,23%",30783,41158,"74,79%","45,44%",,,,
2023,Primarias,Gobernador,BLANCOS,659,574,536,353,"3,05%","3,03%","3,37%","3,16%","4,99%","5,03%","5,54%","5,13%",2122,41158,"5,16%","3,13%",,,,
2023,Primarias,Gobernador,ANULADOS,361,376,306,222,"1,67%","1,99%","1,92%","1,99%","2,74%","3,30%","3,16%","3,23%",1265,41158,"3,07%","1,87%",,,,
2023,Primarias,Presidente,IZQUIERDA,192,183,191,144,"0,91%","0,96%","1,21%","1,30%","1,29%","1,41%","1,75%","1,88%",710,46404,"1,53%","1,06%",,,,
2023,Primarias,Presidente,UNIDOS,5438,4765,3636,2490,"25,80%","25,10%","22,96%","22,49%","36,46%","36,81%","33,34%","32,58%",16329,46404,"35,19%","24,31%",,,,
2023,Primarias,Presidente,LLA,5836,5200,4348,3043,"27,69%","27,39%","27,45%","27,48%","39,13%","40,17%","39,87%","39,82%",18427,46404,"39,71%","27,43%","69,08%",,,
2023,Primarias,Presidente,PJ (K),1972,1486,1468,1007,"9,35%","7,83%","9,27%","9,09%","13,22%","11,48%","13,46%","13,18%",5933,46404,"12,79%","8,83%",,,,
2023,Primarias,Presidente,OTROS,813,769,691,464,"3,86%","4,05%","4,36%","4,19%","5,45%","5,94%","6,34%","6,07%",2737,46404,"5,90%","4,07%",,,,
2023,Primarias,Presidente,BLANCOS,411,276,291,317,"1,95%","1,45%","1,84%","2,86%","2,76%","2,13%","2,67%","4,15%",1295,46404,"2,79%","1,93%",,,,
2023,Primarias,Presidente,ANULADOS,251,265,280,177,"1,19%","1,40%","1,77%","1,60%","1,68%","2,05%","2,57%","2,32%",973,46404,"2,10%","1,45%",,,,
2023,Generales,Intendente,UNIDOS,11341,9768,7905,5595,"53,98%","51,64%","49,66%","50,06%","82,10%","80,53%","77,90%","78,88%",34609,43186,"80,14%","51,08%",,,,
2023,Generales,Intendente,CIUDAD FUTURA,1275,1242,1277,811,"6,07%","6,57%","8,02%","7,26%","9,23%","10,24%","12,58%","11,43%",4605,43186,"10,66%","6,80%",,,,
2023,Generales,Intendente,PJ (K),725,636,593,394,"3,45%","3,36%","3,73%","3,53%","5,25%","5,24%","5,84%","5,55%",2348,43186,"5,44%","3,47%","63,74%",,,
2023,Generales,Intendente,BLANCOS,233,190,168,154,"1,11%","1,00%","1,06%","1,38%","1,69%","1,57%","1,66%","2,17%",745,43186,"1,73%","1,10%",,,,
2023,Generales,Intendente,ANULADOS,240,293,205,139,"1,14%","1,55%","1,29%","1,24%","1,74%","2,42%","2,02%","1,96%",879,43186,"2,04%","1,30%",,,,
2023,Generales,Concejales,UNIDOS,8797,7415,5936,4223,"41,87%","39,20%","37,29%","37,78%","63,67%","61,13%","58,49%","59,54%",26371,43186,"61,06%","38,92%",,,,
2023,Generales,Concejales,CIUDAD FUTURA,1746,1694,1706,1137,"8,31%","8,95%","10,72%","10,17%","12,64%","13,97%","16,81%","16,03%",6283,43186,"14,55%","9,27%",,,,
2023,Generales,Concejales,PJ (K),1305,1231,1125,744,"6,21%","6,51%","7,07%","6,66%","9,45%","10,15%","11,09%","10,49%",4405,43186,"10,20%","6,50%","63,74%",,,
2023,Generales,Concejales,LLA,1229,1019,816,559,"5,85%","5,39%","5,13%","5,00%","8,90%","8,40%","8,04%","7,88%",3623,43186,"8,39%","5,35%",,,,
2023,Generales,Concejales,BLANCOS,452,439,337,284,"2,15%","2,32%","2,12%","2,54%","3,27%","3,62%","3,32%","4,00%",1512,43186,"3,50%","2,23%",,,,"NOTA IMPORTANTE: LOS  TOTALES POR MESA PUEDEN NO COINCIDIR CON EL PADRÓN PORQUE FUERON ELIMINADOS LOS RECURRIDOS, POLICÍA, ETC."
2023,Generales,Concejales,ANULADOS,287,331,228,146,"1,37%","1,75%","1,43%","1,31%","2,08%","2,73%","2,25%","2,06%",992,43186,"2,30%","1,46%",,,,
2023,Generales,Gobernador,UNIDOS,10529,9162,7529,5259,"50,11%","48,43%","47,30%","47,05%","78,75%","75,54%","74,19%","74,14%",32479,43100,"75,36%","47,94%",,,,
2023,Generales,Gobernador,PJ (K),1475,1330,1201,823,"7,02%","7,03%","7,55%","7,36%","11,03%","10,97%","11,83%","11,60%",4829,43100,"11,20%","7,13%",,,,
2023,Generales,Gobernador,LLA,643,546,500,314,"3,06%","2,89%","3,14%","2,81%","4,81%","4,50%","4,93%","4,43%",2003,43100,"4,65%","2,96%","63,62%",,,
2023,Generales,Gobernador,IZQUIERDA,345,330,286,231,"1,64%","1,74%","1,80%","2,07%","2,58%","2,72%","2,82%","3,26%",1192,43100,"2,77%","1,76%",,,,
2023,Generales,Gobernador,BLANCOS,461,420,396,303,"2,19%","2,22%","2,49%","2,71%","3,45%","3,46%","3,90%","4,27%",1580,43100,"3,67%","2,33%",,,,
2023,Generales,Gobernador,ANULADOS,277,341,236,163,"1,32%","1,80%","1,48%","1,46%","2,07%","2,81%","2,33%","2,30%",1017,43100,"2,36%","1,50%",,,,
2023,Generales,Presidente,IZQUIERDA,215,179,300,140,"1,02%","0,94%","1,89%","1,26%","1,35%","1,25%","2,51%","1,64%",834,50775,"1,64%","1,24%",,,,
2023,Generales,Presidente,PJ NO K,1521,1438,1299,989,"7,22%","7,57%","8,19%","8,92%","9,52%","10,05%","10,85%","11,59%",5247,50775,"10,33%","7,81%",,,,
2023,Generales,Presidente,UNIDOS,5170,4757,3554,2543,"24,52%","25,05%","22,42%","22,93%","32,37%","33,26%","29,69%","29,80%",16024,50775,"31,56%","23,85%",,,,
2023,Generales,Presidente,LLA,5955,5291,4323,3014,"28,25%","27,86%","27,27%","27,18%","37,29%","36,99%","36,12%","35,32%",18583,50775,"36,60%","27,66%","75,58%",,,
2023,Generales,Presidente,PJ (K),2796,2364,2270,1692,"13,26%","12,45%","14,32%","15,26%","17,51%","16,53%","18,97%","19,83%",9122,50775,"17,97%","13,58%",,,,
2023,Generales,Presidente,BLANCOS,175,120,94,68,"0,83%","0,63%","0,59%","0,61%","1,10%","0,84%","0,79%","0,80%",457,50775,"0,90%","0,68%",,,,
2023,Generales,Presidente,ANULADOS,138,154,129,87,"0,65%","0,81%","0,81%","0,78%","0,86%","1,08%","1,08%","1,02%",508,50775,"1,00%","0,76%",,,,
2025,Primarias,Convencionales D,IZQUIERDA,382,392,310,196,"1,78%","2,05%","1,89%","1,74%","3,65%","4,38%","4,08%","3,78%",1280,32199,"3,98%","1,87%",,,,
2025,Primarias,Convencionales D,LLA,1394,1129,890,649,"6,51%","5,91%","5,43%","5,75%","13,32%","12,61%","11,70%","12,53%",4062,32199,"12,62%","5,92%",,,,
2025,Primarias,Convencionales D,PJ (K),1368,1188,1114,791,"6,39%","6,22%","6,80%","7,01%","13,07%","13,27%","14,65%","15,27%",4461,32199,"13,85%","6,50%","46,93%",,,
2025,Primarias,Convencionales D,SOMOS VIDA Y LIBERTAD,600,405,395,275,"2,80%","2,12%","2,41%","2,44%","5,73%","4,52%","5,19%","5,31%",1675,32199,"5,20%","2,44%",,,,
2025,Primarias,Convencionales D,OTROS,318,301,261,144,"1,49%","1,58%","1,59%","1,28%","3,04%","3,36%","3,43%","2,78%",1024,32199,"3,18%","1,49%",,,,
2025,Primarias,Convencionales D,UNIDOS,5499,4930,4174,2806,"25,69%","25,83%","25,47%","24,87%","52,55%","55,08%","54,88%","54,18%",17409,32199,"54,07%","25,37%",,,,
2025,Primarias,Convencionales D,BLANCOS,436,274,198,150,"2,04%","1,44%","1,21%","1,33%","4,17%","3,06%","2,60%","2,90%",1058,32199,"3,29%","1,54%",,,,
2025,Primarias,Convencionales D,ANULADOS,467,332,263,168,"2,18%","1,74%","1,60%","1,49%","4,46%","3,71%","3,46%","3,24%",1230,32199,"3,82%","1,79%",,,,
